ticker,strategy,open_date,close_date,short_expiry,long_expiry,strike,entry_credit,entry_debit,pnl,pnl_norm,win,trade_date,rv30,iv30,iv60,forward_iv_30_60,forward_factor_30_60,ts45,iv30_rv30,avg_volume,expected_move_pct
SPY,short_straddle_1w,2023-01-03,2023-01-09,2023-02-03,,367.0,23.97,0.0,-284.0,-0.118481435,False,2023-01-03,0.1978548754579481,0.23312914371490479,0.22568567576152937,0.21798818967694467,0.06945768053030209,-0.0009194887346691556,1.1782835433057288,82497716.03333333,6.3
QQQ,short_straddle_1w,2023-01-03,2023-01-09,2023-02-03,,260.0,18.5,0.0,-50.0,-0.027027028,False,2023-01-03,0.2529631967304295,0.29036429098674227,0.2877908231956618,0.2851941344962056,0.01812855127497524,-0.0014898220698038736,1.1478519197247863,49150425.0,7.0
SPX,short_straddle_1w,2023-01-03,2023-01-09,2023-02-02,,3825.0,189.48999,0.0,658.9981,0.034777462,True,2023-01-03,0.173331139746779,0.2121559977531433,0.2100788810673882,0.2079810211495749,0.020073834528227807,0.0010072221358617148,1.2239924001139315,0.0,4.97
TSLA,short_straddle_1w,2023-01-03,2023-01-09,2023-02-03,,110.0,21.66,0.0,-56.99997,-0.026315775,False,2023-01-03,0.6797819847917316,0.8208352753094265,0.7980623628411975,0.7746202429416935,0.05966153452461686,-0.006066501140594482,1.2074978355904946,128390096.86666666,20.07
AAPL,short_straddle_1w,2023-01-03,2023-01-09,2023-02-03,,125.0,12.41,0.0,51.000023,0.04109591,True,2023-01-03,0.3252216237579271,0.4265575749533517,0.3923680665237563,0.3549000345239451,0.20190908272389,-0.003180452755519322,1.3115904472294628,78957819.96666667,10.14
IWM,short_straddle_1w,2023-01-03,2023-01-09,2023-02-03,,166.0,12.46,0.0,-208.0,-0.16693419,False,2023-01-03,0.2320617615092006,0.26557001045772005,0.2592636410679136,0.252800001394522,0.05051427607893496,-0.0029613117376963297,1.1443936680071738,23213647.966666665,6.93
NVDA,short_straddle_1w,2023-01-03,2023-01-09,2023-02-03,,70.0,73.37,0.0,-1415.9996,-0.19299436,False,2023-01-03,0.4942311434926925,0.7836005858012608,0.8047892259699958,0.8254341393513421,-0.05068066797304477,0.0008654991785685221,1.5854941480692968,416456321.3666667,51.3
VIX,short_straddle_1w,2023-01-03,2023-01-09,2023-02-01,,23.0,3.66,0.0,52.999996,0.14480874,True,2023-01-03,0.8722388555087667,0.684079932315009,0.6458910856928144,0.6052976419570605,0.13015462955254212,0.0029600370626944998,0.7842805075634852,0.0,15.45
AMD,short_straddle_1w,2023-01-03,2023-01-09,2023-02-03,,65.0,8.59,0.0,46.000004,0.053550646,True,2023-01-03,0.45641600602853843,0.564529299736023,0.5397672589336123,0.5138132514571477,0.09870521660359505,-0.0019395706199464343,1.2368744572483825,55605399.53333333,13.4
AMZN,short_straddle_1w,2023-01-03,2023-01-09,2023-02-03,,86.0,10.77,0.0,60.00004,0.05571034,True,2023-01-03,0.37761808404213776,0.5197182851178306,0.4766453898378781,0.4292721274687968,0.21069655321520545,-0.00028214284351893833,1.3763066629505913,72597114.03333333,12.52
MARA,short_straddle_1w,2023-01-03,2023-01-09,2023-02-03,,3.5,1.09,0.0,-69.99999,-0.6422018,False,2023-01-03,0.9898505288361147,1.287253601210458,1.465642273426056,1.6245592366785837,-0.20762901582939386,0.0023641444387890046,1.300452506424415,16738690.333333334,31.96
MSFT,short_straddle_1w,2023-01-03,2023-01-09,2023-02-03,,235.0,20.86,0.0,279.0001,0.13374884,True,2023-01-03,0.29069839201364545,0.36245528714997427,0.34480460413864683,0.3262002374116971,0.11114354185009273,-0.0010151905672890799,1.2468431099301043,27640386.7,8.72
PFE,short_straddle_1w,2023-01-03,2023-01-09,2023-02-03,,45.0,6.72,0.0,233.99997,0.34821424,True,2023-01-03,0.21855968961001912,0.38436771290642874,0.3607579746416637,0.3354908252250599,0.14568770293071462,0.0002616906449908302,1.7586395441550293,23054556.3,16.63
BABA,short_straddle_1w,2023-01-03,2023-01-09,2023-02-03,,85.0,13.139999,0.0,-1418.0,-1.0791477,False,2023-01-03,0.5844784164947493,0.5643422859055656,0.5674889896597181,0.5706183410204196,-0.010998691531069247,-0.0013609046027773903,0.9655485471816997,23467483.333333332,13.62
