ticker,strategy,open_date,close_date,near_expiry,far_expiry,spot_at_open,spot_at_close,strike_15d_30dte,strike_50d_30dte,strike_85d_30dte,strike_50d_60dte,entry_cashflow,exit_cashflow,notional
TSLA,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,861.5,1080.39,,875.0,,,128.31,-205.3900146484375,128.31
TSLA,long_call_butterfly_hold,2022-02-28,2022-04-01,2022-04-01,,861.5,1080.39,1045.0,875.0,700.0,,-71.66,5.0,71.66
AAPL,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,163.99,172.87,,165.0,,,11.450001,-7.8699951171875,11.450001
AMZN,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,3047.07,3252.98,,3065.0,,,244.94,-187.97998046875,244.94
AMD,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,122.569,106.695,,124.0,,,15.83,-17.30500030517578,15.83
NVDA,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,241.02,263.39,,245.0,,,31.880001,-18.3900146484375,31.880001
NVDA,long_call_butterfly_hold,2022-02-28,2022-04-01,2022-04-01,,241.02,263.39,285.0,245.0,200.0,,-19.16,26.6099853515625,19.16
HYG,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,83.655,81.915,,83.5,,,2.38,-1.5849990844726562,2.38
TQQQ,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,51.4599,56.76,,53.0,,,10.72,-3.759998321533203,10.72
AMC,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,18.745,23.2401,,20.0,,,5.84,-3.240100860595703,5.84
F,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,17.495,16.5799,,17.5,,,2.07,-0.9200992584228516,2.07
F,long_call_butterfly_hold,2022-02-28,2022-04-01,2022-04-01,,17.495,16.5799,20.5,17.5,14.5,,-1.3400002,2.0799007415771484,1.3400002
BABA,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,104.65,110.199,,106.0,,,14.91,-4.198997497558594,14.91
MSFT,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,295.843,306.04,,295.0,,,22.38,-11.040008544921875,22.38
FXI,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,34.89,33.11,,35.0,,,2.6399999,-1.8899993896484375,2.6399999
NIO,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,22.765,21.82,,23.0,,,4.57,-1.1800003051757812,4.57
UVXY,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,17.6699,13.15,,21.0,,,8.77,-7.850000381469727,8.77
BAC,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,44.015,40.615,,44.0,,,3.71,-3.384998321533203,3.71
BAC,long_call_butterfly_hold,2022-02-28,2022-04-01,2022-04-01,,44.015,40.615,49.0,44.0,40.0,,-1.27,0.6150016784667969,2.27
SNAP,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,39.52,37.195,,40.0,,,5.98,-2.8050003051757812,5.98
TLT,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,139.83,132.51,,140.0,,,6.41,-7.4900054931640625,6.41
XOM,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,78.1109,82.875,,79.0,,,6.49,-3.875,6.49
ARKK,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,69.77,67.03,,70.5,,,10.29,-3.470001220703125,10.29
INTC,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,47.405,47.825,,48.0,,,3.55,-0.17499923706054688,3.55
AAL,short_straddle_hold,2022-02-28,2022-04-01,2022-04-01,,17.17,18.165,,17.5,,,2.46,-0.6650009155273438,2.46
AAL,long_call_butterfly_hold,2022-02-28,2022-04-01,2022-04-01,,17.17,18.165,21.0,17.5,14.0,,-1.5300002,2.8349990844726562,1.5300002
