ticker,trade_date,rvol30_yz,rvol30_cc,ivar30,dte0,atm_iv0,atm_iv30,atm_iv45,atm_iv60,avg_underlying_volume,daily_option_volume
SPY,2025-07-01,0.106461555,0.097307675,0.0274048,0.0,0.10746,0.138864,0.141988,0.1413441,74889440.0,7167416
QQQ,2025-07-01,0.13322406,0.124284245,0.041013207,0.0,0.131677,0.172821,0.178442,0.18305604,46876276.0,4001389
SPX,2025-07-01,0.09395345,0.097478665,0.02713659,0.0,0.093578,0.127718,0.134487,0.13793862,0.0,3399467
NVDA,2025-07-01,0.24347638,0.2698993,0.16980805,2.0,0.354906,0.369373,0.369693,0.391014,192182530.0,2356630
TSLA,2025-07-01,0.6562896,0.75421715,0.52052146,2.0,0.826443,0.59796244,0.601806,0.58633673,122758360.0,2634855
IWM,2025-07-01,0.16860211,0.15394168,0.059437588,0.0,0.222653,0.21209742,0.210717,0.203034,34758040.0,1771424
AAPL,2025-07-01,0.2116527,0.18232654,0.101212725,2.0,0.283849,0.28569886,0.289144,0.2820717,56274296.0,1676321
PLTR,2025-07-01,0.5404663,0.60917276,0.3736258,2.0,0.582063,0.5485179,0.6847,0.6611654,87600664.0,897876
VIX,2025-07-01,1.3044972,1.113887,0.80938923,1.0,0.792907,0.78366834,0.74333835,0.7408232,0.0,782273
AMD,2025-07-01,0.41163084,0.4876649,0.2129956,2.0,0.395444,0.41845658,0.456874,0.44344428,53836676.0,721571
AMZN,2025-07-01,0.25391635,0.22911067,0.14424455,2.0,0.290807,0.3416607,0.333671,0.3182793,43327910.0,590660
IBIT,2025-07-01,0.34105754,0.3302178,0.21433815,2.0,0.311457,0.365379,0.387385,0.40111014,39510950.0,386907
MSTR,2025-07-01,0.43910623,0.46503818,0.42444515,2.0,0.479652,0.51764846,0.54362,0.5596584,10737086.0,581602
SLV,2025-07-01,0.27082545,0.2755957,0.07566447,1.0,0.274224,0.25072157,0.255311,0.25837272,23872964.0,295570
INTC,2025-07-01,0.43343082,0.48253483,0.32169878,2.0,0.409135,0.5247509,0.477783,0.47347286,92036740.0,252773
TLT,2025-07-01,0.12996548,0.12495455,0.021531535,1.0,0.132072,0.134164,0.13282,0.13595557,40376150.0,297704
GLD,2025-07-01,0.17686495,0.17547895,0.028781725,1.0,0.157334,0.15663043,0.148914,0.14696099,9941246.0,199361
META,2025-07-01,0.22843544,0.280927,0.16772504,2.0,0.298187,0.37283486,0.36309,0.34975457,12795568.0,370557
HYG,2025-07-01,0.029222878,0.029374732,0.0039335983,2.0,0.057138,0.052500285,0.051838,0.05229443,37827044.0,325675
GOOGL,2025-07-01,0.2882389,0.2784258,0.1480234,2.0,0.272191,0.33199757,0.320091,0.31897587,42139576.0,271588
SMCI,2025-07-01,0.5786507,0.73247534,0.5586132,2.0,0.68712,0.68071944,0.755476,0.75716025,42249320.0,268196
SOFI,2025-07-01,0.5047481,0.51584995,0.56783366,2.0,0.58693,0.64857686,0.625057,0.6107256,74426170.0,482676
HOOD,2025-07-01,0.6127235,0.5989665,0.6889199,2.0,0.830662,0.7966589,0.794635,0.7631033,45473956.0,1195301
MARA,2025-07-01,0.6315063,0.5365125,0.5313915,2.0,0.676064,0.6772966,0.673591,0.67983913,46246748.0,379481
MSFT,2025-07-01,0.14247629,0.11203854,0.07161698,2.0,0.175273,0.237799,0.222048,0.22024886,20127892.0,204762
TQQQ,2025-07-01,0.39935985,0.37221605,0.35577974,2.0,0.486582,0.51177484,0.514836,0.52638215,139045180.0,255370
COIN,2025-07-01,0.65257806,0.84772986,0.43140116,2.0,0.59842,0.608524,0.627665,0.6169323,15343292.0,348107
AVGO,2025-07-01,0.34701338,0.3759039,0.16165155,2.0,0.362167,0.3472647,0.362349,0.38807443,27300806.0,222042
GME,2025-07-01,0.84684575,0.9663788,0.36289656,2.0,0.495634,0.5579207,0.573814,0.6061266,22053956.0,129071
SOXL,2025-07-01,0.7390037,0.70321244,0.800772,2.0,0.884278,0.8176187,0.852893,0.8547348,129041950.0,228543
BABA,2025-07-01,0.26165688,0.2751638,0.12502289,2.0,0.305847,0.32924873,0.356654,0.35890058,12159102.0,89956
EEM,2025-07-01,0.13398227,0.13917644,0.09645027,2.0,0.154543,0.299867,0.142636,0.16362767,27386604.0,103700
GOOG,2025-07-01,0.28979933,0.26051664,0.14382224,2.0,0.260425,0.325593,0.330648,0.32117015,28936624.0,237917
CRWV,2025-07-01,1.1388506,1.3704779,1.0434806,2.0,0.842417,0.88757545,1.017307,0.9956247,26011154.0,282534
BYND,2025-07-01,0.60025805,0.5478484,0.553661,2.0,0.583807,0.624198,0.975999,1.0187005,1887884.0,16342
RGTI,2025-07-01,0.8386044,0.7621082,0.8051326,2.0,0.924328,0.8725724,0.910271,0.9107836,46916364.0,71097
MU,2025-07-01,0.39192197,0.31660095,0.1735497,2.0,0.391643,0.38346785,0.376731,0.38687187,25341154.0,134249
NIO,2025-07-01,0.4685827,0.3990161,0.32753745,2.0,0.576562,0.51010245,0.577465,0.58024687,34946204.0,72409
UNH,2025-07-01,0.24885908,0.26366273,0.28792596,2.0,0.335239,0.46986327,0.44277,0.4249367,13125744.0,366405
NFLX,2025-07-01,0.21832122,0.22485767,0.19468354,2.0,0.280241,0.4340893,0.392736,0.3783827,28568048.0,164092
XLF,2025-07-01,0.1404025,0.1285512,0.03804513,2.0,0.153872,0.16811544,0.17422,0.16784929,36937944.0,116448
PFE,2025-07-01,0.16320105,0.19063452,0.057049043,2.0,0.22949,0.22344586,0.239121,0.23706472,40588516.0,166764
RIVN,2025-07-01,0.41911924,0.3278874,0.32159755,2.0,0.827898,0.53738153,0.644187,0.62089413,23154460.0,222988
BAC,2025-07-01,0.18855704,0.15167476,0.07728299,2.0,0.245098,0.2516947,0.246949,0.24481386,39711710.0,200596
ORCL,2025-07-01,0.4729781,0.54953843,0.11030518,2.0,0.337004,0.32819057,0.317026,0.348472,18041642.0,107998
HIMS,2025-07-01,1.4806734,1.6589762,1.047742,2.0,0.861384,0.9414677,1.08381,1.04298,53831428.0,153388
GDX,2025-07-01,0.30354884,0.34967297,0.10267421,2.0,0.340497,0.31068087,0.313796,0.31470373,21370502.0,75173
KWEB,2025-07-01,0.20392743,0.230383,0.095003754,2.0,0.256156,0.28492144,0.295056,0.29315355,16082067.0,37269
RIOT,2025-07-01,0.7327102,0.7244347,0.6306166,2.0,0.776137,0.7644546,0.709984,0.692257,44277390.0,108983
UBER,2025-07-01,0.32016563,0.3309797,0.1490115,2.0,0.362347,0.36830115,0.412127,0.39296943,21881528.0,80048
EWZ,2025-07-01,0.17746422,0.17854688,0.05624438,2.0,0.228183,0.22593115,0.224857,0.229546,25732800.0,56143
SOUN,2025-07-01,0.66760224,0.62179595,0.7219425,2.0,0.882332,0.83563817,0.956293,0.9195271,31952606.0,112202
BA,2025-07-01,0.3416849,0.34341475,0.13735509,2.0,0.288791,0.34163088,0.332182,0.323047,9036182.0,76227
IREN,2025-07-01,0.84309316,0.71386313,0.95532566,2.0,1.20963,0.98030955,0.953365,0.9508142,22658804.0,185932
AAL,2025-07-01,0.45179313,0.46663088,0.35993397,2.0,0.458888,0.5698305,0.557136,0.5278123,52868384.0,134349
TSM,2025-07-01,0.25293255,0.24640873,0.1664853,2.0,0.298942,0.3492627,0.366544,0.35694742,10808694.0,74793
ETHA,2025-07-01,0.6667149,0.62779444,0.44707084,2.0,0.461377,0.60845613,0.620282,0.62561256,17084128.0,36578
NKE,2025-07-01,0.49686164,0.5681395,0.0937075,2.0,0.358458,0.28364986,0.285874,0.28537986,21236560.0,199759
QBTS,2025-07-01,0.85097855,0.74573386,1.0539478,2.0,1.014523,1.0079908,1.104166,1.1016175,54355690.0,113439
SNAP,2025-07-01,0.47036868,0.51953804,0.80565536,2.0,0.569845,0.84065074,0.824374,0.76801044,35574056.0,227097
WMT,2025-07-01,0.1757103,0.14696263,0.05065381,2.0,0.224395,0.19292815,0.215364,0.22309457,17163602.0,67129
XSP,2025-07-01,0.09932181,0.097448856,0.027171802,0.0,0.086585,0.135411,0.135881,0.138183,0.0,120481
CLSK,2025-07-01,0.69193304,0.7592734,0.5806594,2.0,0.77551,0.79989517,0.781398,0.775464,28007272.0,68242
